

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

037.574  000.232  000.206: sourcing /usr/local/share/nvim/runtime/plugin/rplugin.vim
037.811  000.195  000.195: sourcing /usr/local/share/nvim/runtime/plugin/shada.vim
037.948  000.051  000.051: sourcing /usr/local/share/nvim/runtime/plugin/spellfile.vim
038.188  000.204  000.204: sourcing /usr/local/share/nvim/runtime/plugin/tarPlugin.vim
038.337  000.111  000.111: sourcing /usr/local/share/nvim/runtime/plugin/tohtml.vim
038.398  000.028  000.028: sourcing /usr/local/share/nvim/runtime/plugin/tutor.vim
038.715  000.251  000.251: sourcing /usr/local/share/nvim/runtime/plugin/zipPlugin.vim
039.107  006.725: loading plugins
041.305  000.069  000.069: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-markdown/ftdetect/markdown.vim
041.551  000.055  000.055: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-markdown/ftdetect/markdown.vim
041.789  000.071  000.071: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-markdown/ftdetect/markdown.vim
042.337  000.058  000.058: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/autoload/matchup/unmatchit.vim
042.611  000.019  000.019: sourcing /usr/local/share/nvim/runtime/plugin/matchparen.vim
043.473  000.300  000.300: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/autoload/matchup.vim
043.687  000.140  000.140: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/autoload/matchup/perf.vim
044.572  000.394  000.394: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/autoload/matchup/loader.vim
045.433  000.636  000.636: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/autoload/matchup/matchparen.vim
052.828  010.668  009.121: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/plugin/matchup.vim
053.160  000.052  000.052: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/plugin/matchup.vim
053.412  000.042  000.042: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/plugin/matchup.vim
056.280  002.472  002.472: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/icy/colors/icy.vim
057.461  000.062  000.062: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/plenary.nvim/plugin/plenary.vim
057.739  000.045  000.045: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/plenary.nvim/plugin/plenary.vim
057.995  000.043  000.043: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/plenary.nvim/plugin/plenary.vim
112.493  000.046  000.046: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vimtex/ftdetect/tex.vim
112.509  072.895  059.271: sourcing /home/elianiva/.local/share/nvim/site/pack/loader/start/packer.nvim/plugin/packer_compiled.lua
